Title,Price,Operating_system,Display_diagonal,Memory,Main_Camera,Front_Camera,Delivery,Manufacturer,Manufacturer_country,Features,Color
Смартфон Techno Camon 16 SE (CE7j) 6/128GB Misty Grey,89990,Android 10,"6,8″ - 17,27 см",128 Мб,48 Mpx + 2 Mpx + 2 Mpx + AI,16 Mpx,бесплатно,Tecno,Китай,"Сканер лица. Сканер отпечатка пальца. Акселерометр, датчик приближения, датчик освещенности, датчик положения экрана. Функция быстрой зарядки",Серый
Смартфон Techno Camon 16 SE (CE7j) 6/128GB Purist Blue,89990,Android 10,"6,8″ - 17,27 см",128 Мб,48 Mpx + 2 Mpx + 2 Mpx + AI,16 Mpx,бесплатно,Tecno,Китай,"Сканер лица. Сканер отпечатка пальца. Акселерометр, датчик приближения, датчик освещенности, датчик положения экрана. Функция быстрой зарядки",Синий
Смартфон Tecno Camon 15 4/64Gb (CD7) Shoal Gold,74890,Android 10,"6,6″ - 16,76 см",64 GB,"48 Mpx + 2 Mpx + 2 Mpx + 0,08 Mpx",16 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",
Смартфон Tecno POP 2F 1/16GB Champagne Gold (B1F),24990,Android 8.0 Oreo Go Edition,"5,45″ - 13,8 см",16 GB,5 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",Золотистый
Смартфон Tecno Pop 2F 1/16Gb DawnBlue (B1F),24990,Android 8.0 Oreo Go Edition,"5,45″ - 13,8 см",16 GB,5 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",Синий
Смартфон Tecno POP 2F 1/16GB Midnight Black (B1F/B1G),24990,Android 8.0 Oreo Go Edition,"5,45″ - 13,8 см",16 GB,5 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",Черный
Смартфон Tecno POP 3 (BB2) Black,31890,Android 8.0 Oreo Go Edition,"5,7″ - 14,48 см",16 GB,5 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",
Смартфон Tecno Pop 4 2/32Gb Ice Lake Green (BC2),39890,Android 10,"6″ - 15,2 см",32 GB,5 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",Зеленый
Смартфон Tecno POP 4 Pro (BC3) Cosmic Shine,43890,Android 10,"6,5″ - 16,51 см",16 GB,8 Mpx + 0.3 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",
Смартфон Tecno POP 4 Pro (BC3) Pearl Black,43890,Android 10,"6,5″ - 16,51 см",16 GB,8 Mpx + 0.3 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",
Смартфон Tecno Pop 4 Pro 1/16GB (BC3) Vacation Blue,43890,Android 10,"6,5″ - 16,51 см",16 GB,7 Mpx + 0.3 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",
